Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CASP7","Caspase 7","Protein Coding","48","GC10P113679","23.4857769012451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"PRKCD","Protein Kinase C Delta","Protein Coding","52","GC03P053156","22.9924221038818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD"
"TNFRSF10B","TNF Receptor Superfamily Member 10b","Protein Coding","49","GC08M023020","22.7193965911865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF10B"
"CASP2","Caspase 2","Protein Coding","47","GC07P147632","22.1556339263916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP2"
"BOK","BCL2 Family Apoptosis Regulator BOK","Protein Coding","40","GC02P241558","21.7163581848145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOK"
"CASP1","Caspase 1","Protein Coding","49","GC11M105025","20.9536228179932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"NAIP","NLR Family Apoptosis Inhibitory Protein","Protein Coding","40","GC05M070968","20.9371852874756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAIP"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","48","GC10P048306","20.5592918395996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"CASP6","Caspase 6","Protein Coding","47","GC04M109688","20.2655811309814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP6"
"PAWR","Pro-Apoptotic WT1 Regulator","Protein Coding","41","GC12M079574","19.8798084259033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAWR"
"BIRC2","Baculoviral IAP Repeat Containing 2","Protein Coding","44","GC11P102347","19.8368473052979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC2"
"TNF","Tumor Necrosis Factor","Protein Coding","50","GC06P076864","19.6585121154785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","52","GC14M104769","19.022388458252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"SIVA1","SIVA1 Apoptosis Inducing Factor","Protein Coding","36","GC14P108830","18.8594074249268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIVA1"
"BIRC3","Baculoviral IAP Repeat Containing 3","Protein Coding","45","GC11P102317","18.7818737030029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC3"
"TNFRSF10A","TNF Receptor Superfamily Member 10a","Protein Coding","44","GC08M023190","18.5765838623047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF10A"
"AIFM3","Apoptosis Inducing Factor Mitochondria Associated 3","Protein Coding","37","GC22P020965","18.5747814178467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM3"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","48","GC01M226360","18.4374828338623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"BID","BH3 Interacting Domain Death Agonist","Protein Coding","44","GC22M017734","18.1583137512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BID"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","49","GC12M025204","17.4570064544678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"DIABLO","Diablo IAP-Binding Mitochondrial Protein","Protein Coding","46","GC12M122208","17.40966796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIABLO"
"AIFM2","Apoptosis Inducing Factor Mitochondria Associated 2","Protein Coding","38","GC10M070098","17.1643524169922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM2"
"API5","Apoptosis Inhibitor 5","Protein Coding","37","GC11P043311","17.0847835540771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=API5"
"BAK1","BCL2 Antagonist/Killer 1","Protein Coding","44","GC06M033572","16.8331089019775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAK1"
"AATK","Apoptosis Associated Tyrosine Kinase","Protein Coding","39","GC17M081117","16.6645278930664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATK"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","48","GC01M114704","16.4352989196777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","48","GC06P077011","16.4325637817383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"MAP3K5","Mitogen-Activated Protein Kinase Kinase Kinase 5","Protein Coding","46","GC06M136557","16.3648338317871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K5"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","50","GC22M021759","16.3093395233154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"BIRC7","Baculoviral IAP Repeat Containing 7","Protein Coding","38","GC20P063235","16.2919158935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC7"
"MOAP1","Modulator Of Apoptosis 1","Protein Coding","36","GC14M093182","16.1801338195801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOAP1"
"CCAR2","Cell Cycle And Apoptosis Regulator 2","Protein Coding","37","GC08P022604","16.1103191375732","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR2"
"CCAR1","Cell Division Cycle And Apoptosis Regulator 1","Protein Coding","37","GC10P068721","15.9091882705688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR1"
"FADD","Fas Associated Via Death Domain","Protein Coding","45","GC11P070203","15.8972835540771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADD"
"RIPK1","Receptor Interacting Serine/Threonine Kinase 1","Protein Coding","48","GC06P003155","15.6628122329712","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1"
"PEA15","Proliferation And Apoptosis Adaptor Protein 15","Protein Coding","42","GC01P160205","15.4408006668091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEA15"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","50","GC08P127735","15.1479091644287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"AEN","Apoptosis Enhancing Nuclease","Protein Coding","34","GC15P088604","15.0334091186523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AEN"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","48","GC12M006328","14.9794321060181","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"CASP4","Caspase 4","Protein Coding","46","GC11M104942","14.9571924209595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP4"
"BFAR","Bifunctional Apoptosis Regulator","Protein Coding","38","GC16P014643","14.8804626464844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BFAR"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","50","GC17M042313","14.8563461303711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"TP53AIP1","Tumor Protein P53 Regulated Apoptosis Inducing Protein 1","Protein Coding","36","GC11M128934","14.848726272583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53AIP1"
"AATF","Apoptosis Antagonizing Transcription Factor","Protein Coding","40","GC17P036948","14.7653837203979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATF"
"CIAPIN1","Cytokine Induced Apoptosis Inhibitor 1","Protein Coding","38","GC16M057428","14.6145486831665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIAPIN1"
"AVEN","Apoptosis And Caspase Activation Inhibitor","Protein Coding","36","GC15M033853","14.5781660079956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVEN"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","50","GC06P077003","14.4933385848999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"APAF1","Apoptotic Peptidase Activating Factor 1","Protein Coding","46","GC12P098645","14.4528551101685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APAF1"
"PERP","P53 Apoptosis Effector Related To PMP22","Protein Coding","41","GC06M138088","14.428807258606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PERP"
"NAIF1","Nuclear Apoptosis Inducing Factor 1","Protein Coding","33","GC09M128061","14.4015398025513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAIF1"
"AREL1","Apoptosis Resistant E3 Ubiquitin Protein Ligase 1","Protein Coding","34","GC14M074653","14.2631244659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREL1"
"ANXA5","Annexin A5","Protein Coding","45","GC04M121667","14.2602548599243","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5"
"TRIAP1","TP53 Regulated Inhibitor Of Apoptosis 1","Protein Coding","35","GC12M120443","14.2541246414185","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIAP1"
"BAD","BCL2 Associated Agonist Of Cell Death","Protein Coding","44","GC11M084618","14.2016801834106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAD"
"BBC3","BCL2 Binding Component 3","Protein Coding","40","GC19M047220","14.1538591384888","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBC3"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","52","GC12P068808","13.0219078063965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"ECSCR","Endothelial Cell Surface Expressed Chemotaxis And Apoptosis Regulator","Protein Coding","29","GC05M139448","12.6999006271362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECSCR"
"TNFRSF10C","TNF Receptor Superfamily Member 10c","Protein Coding","38","GC08P023102","12.6451787948608","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF10C"
"CAAP1","Caspase Activity And Apoptosis Inhibitor 1","Protein Coding","29","GC09M026840","12.5872793197632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAAP1"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","50","GC04P102501","12.5718908309937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"TNFRSF10D","TNF Receptor Superfamily Member 10d","Protein Coding","41","GC08M023135","12.5538196563721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF10D"
"CASP14","Caspase 14","Protein Coding","45","GC19P015049","12.5294466018677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP14"
"TRAF2","TNF Receptor Associated Factor 2","Protein Coding","44","GC09P136881","12.2820587158203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF2"
"BCL2L2","BCL2 Like 2","Protein Coding","43","GC14P030949","12.1803550720215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L2"
"CASP5","Caspase 5","Protein Coding","42","GC11M104995","12.0519466400146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP5"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","52","GC01M011106","11.9324684143066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"BIK","BCL2 Interacting Killer","Protein Coding","39","GC22P043110","11.8760442733765","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIK"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","47","GC01M058780","11.842700958252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"ELAPOR1","Endosome-Lysosome Associated Apoptosis And Autophagy Regulator 1","Protein Coding","28","GC01P109175","11.807728767395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAPOR1"
"TP53BP2","Tumor Protein P53 Binding Protein 2","Protein Coding","42","GC01M223779","11.8044815063477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53BP2"
"GZMB","Granzyme B","Protein Coding","46","GC14M024630","11.6743831634521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMB"
"DDIAS","DNA Damage Induced Apoptosis Suppressor","Protein Coding","30","GC11P082899","11.6674270629883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIAS"
"E2F1","E2F Transcription Factor 1","Protein Coding","43","GC20M033675","11.3478288650513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1"
"BLCAP","BLCAP Apoptosis Inducing Factor","Protein Coding","31","GC20M037492","11.1716871261597","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLCAP"
"NIBAN2","Niban Apoptosis Regulator 2","Protein Coding","30","GC09M127558","11.0125274658203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIBAN2"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","50","GC10P090708","10.7980318069458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"DFFA","DNA Fragmentation Factor Subunit Alpha","Protein Coding","43","GC01M010456","10.7293109893799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DFFA"
"BCL2L14","BCL2 Like 14","Protein Coding","38","GC12P012049","10.6868000030518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L14"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","44","GC10P060772","10.4830980300903","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"PYCARD","PYD And CARD Domain Containing","Protein Coding","41","GC16M031201","10.4808864593506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCARD"
"NIBAN1","Niban Apoptosis Regulator 1","Protein Coding","30","GC01M184791","10.44455909729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIBAN1"
"NOL3","Nucleolar Protein 3","Protein Coding","42","GC16P067204","10.4352703094482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOL3"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","52","GC07P055019","10.4002065658569","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"BECN1","Beclin 1","Protein Coding","44","GC17M042810","10.2609615325928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1"
"TRADD","TNFRSF1A Associated Via Death Domain","Protein Coding","42","GC16M067154","10.2322721481323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRADD"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","52","GC03M012583","10.1845693588257","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","48","GC01M186640","10.1245079040527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","52","GC11P108222","10.1012916564941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","48","GC16M035783","10.0922813415527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"CCND1","Cyclin D1","Protein Coding","50","GC11P069641","10.0905542373657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"ELAPOR2","Endosome-Lysosome Associated Apoptosis And Autophagy Regulator Family Member 2","Protein Coding","26","GC07M086877","10.0672550201416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAPOR2"
"BCL2L10","BCL2 Like 10","Protein Coding","38","GC15M079646","10.0423994064331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L10"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","46","GC09M125234","9.9748010635376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"DAXX","Death Domain Associated Protein","Protein Coding","42","GC06M033318","9.8697395324707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAXX"
"MAPK10","Mitogen-Activated Protein Kinase 10","Protein Coding","49","GC04M085990","9.83767414093018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10"
"TET2","Tet Methylcytosine Dioxygenase 2","Protein Coding","45","GC04P105145","9.63571166992188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET2"
"AATBC","Apoptosis Associated Transcript In Bladder Cancer","RNA Gene","16","GC21M043806","9.62225818634033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATBC"
"TP73","Tumor Protein P73","Protein Coding","45","GC01P003652","9.54060077667236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP73"
"TNFRSF25","TNF Receptor Superfamily Member 25","Protein Coding","41","GC01M006460","9.53285884857178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF25"
"TNFSF12","TNF Superfamily Member 12","Protein Coding","40","GC17P010605","9.51771926879883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF12"
"RELA","RELA Proto-Oncogene, NF-KB Subunit","Protein Coding","50","GC11M065653","9.49038028717041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","50","GC19M041301","9.35768032073975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"FOXO3","Forkhead Box O3","Protein Coding","44","GC06P108559","9.33562183380127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3"
"CLU","Clusterin","Protein Coding","45","GC08M027596","9.32183265686035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU"
"MAPK9","Mitogen-Activated Protein Kinase 9","Protein Coding","47","GC05M180246","9.25970077514648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","49","GC09M021967","9.24697303771973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"BCL2L13","BCL2 Like 13","Protein Coding","37","GC22P017628","9.24534130096436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L13"
"HTRA2","HtrA Serine Peptidase 2","Protein Coding","45","GC02P074529","9.19166564941406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA2"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","47","GC07P106865","9.15331554412842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","47","GC06P043770","9.13131713867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CSE1L","Chromosome Segregation 1 Like","Protein Coding","40","GC20P049046","9.08138370513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSE1L"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","46","GC14P061695","9.06235313415527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"SIRT1","Sirtuin 1","Protein Coding","47","GC10P067884","9.02695369720459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"XAF1","XIAP Associated Factor 1","Protein Coding","39","GC17P006757","9.00738525390625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XAF1"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","53","GC15P098648","8.97880458831787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"NIBAN3","Niban Apoptosis Regulator 3","Protein Coding","25","GC19P053497","8.97147846221924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIBAN3"
"NFKBIA","NFKB Inhibitor Alpha","Protein Coding","49","GC14M035401","8.96222305297852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","48","GC12M102395","8.90525722503662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"DFFB","DNA Fragmentation Factor Subunit Beta","Protein Coding","43","GC01P003797","8.88933944702148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DFFB"
"HRK","Harakiri, BCL2 Interacting Protein","Protein Coding","38","GC12M116820","8.84460067749023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRK"
"XIAPP3","X-Linked Inhibitor Of Apoptosis Pseudogene 3","Pseudogene","5","GC02P120916","8.67289447784424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAPP3"
"XIAPP2","X-Linked Inhibitor Of Apoptosis Pseudogene 2","Pseudogene","4","GC11M087095","8.67289447784424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAPP2"
"VDAC1","Voltage Dependent Anion Channel 1","Protein Coding","45","GC05M133975","8.65888690948486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC1"
"IL2","Interleukin 2","Protein Coding","44","GC04M122451","8.64943027496338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"PMAIP1","Phorbol-12-Myristate-13-Acetate-Induced Protein 1","Protein Coding","39","GC18P059899","8.61423301696777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMAIP1"
"PDCD6","Programmed Cell Death 6","Protein Coding","38","GC05P000272","8.55186939239502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6"
"RIPK3","Receptor Interacting Serine/Threonine Kinase 3","Protein Coding","42","GC14M024336","8.47083950042725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK3"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","50","GC12P055966","8.42442893981934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"HMGB1","High Mobility Group Box 1","Protein Coding","44","GC13M030456","8.41207504272461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"IFNG","Interferon Gamma","Protein Coding","47","GC12M068154","8.32291603088379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"API5P1","Apoptosis Inhibitor 5 Pseudogene 1","Pseudogene","6","GC0XM116104","8.2434139251709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=API5P1"
"HDAC9","Histone Deacetylase 9","Protein Coding","46","GC07P018086","8.21212577819824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC9"
"BCL2A1","BCL2 Related Protein A1","Protein Coding","40","GC15M080585","8.21143627166748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2A1"
"RNF7","Ring Finger Protein 7","Protein Coding","39","GC03P141738","8.20916843414307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF7"
"IL6","Interleukin 6","Protein Coding","48","GC07P022725","8.19256591796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"DDIT3","DNA Damage Inducible Transcript 3","Protein Coding","45","GC12M057516","8.18411445617676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIT3"
"PPP1R13B","Protein Phosphatase 1 Regulatory Subunit 13B","Protein Coding","38","GC14M103733","8.15573406219482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R13B"
"RASGRP1","RAS Guanyl Releasing Protein 1","Protein Coding","46","GC15M038488","8.10817909240723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP1"
"CIAPIN1P","Cytokine Induced Apoptosis Inhibitor 1 Pseudogene","Pseudogene","7","GC18P026599","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIAPIN1P"
"TRIAP1P1","TP53 Regulated Inhibitor Of Apoptosis 1 Pseudogene 1","Pseudogene","6","GC10M027376","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIAP1P1"
"API5P2","Apoptosis Inhibitor 5 Pseudogene 2","Pseudogene","5","GC02M177994","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=API5P2"
"ENSG00000228998","PERP, TP53 Apoptosis Effector (PERP) Pseudogene","Pseudogene","5","GC15P112414","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000228998"
"ENSG00000271623","PRKC, Apoptosis, WT1, Regulator (PAWR) Pseudogene","Pseudogene","4","GC16P039172","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000271623"
"LOC100505995","Apoptosis-Inducing, TAF9-Like Domain 1 Pseudogene","Pseudogene","4","GC07P012740","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC100505995"
"LOC100131159","PERP, TP53 Apoptosis Effector Pseudogene","Pseudogene","4","GC06P016418","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC100131159"
"XIAPP1","X-Linked Inhibitor Of Apoptosis Pseudogene 1","Pseudogene","4","GC10P109663","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAPP1"
"LOC390600","Cytokine Induced Apoptosis Inhibitor 1 Pseudogene","Pseudogene","4","GC15P068833","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC390600"
"ENSG00000218073","PERP, TP53 Apoptosis Effector (PERP) Pseudogene","Pseudogene","3","GC06P016416","8.08378505706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000218073"
